項次,補助縣市,申請補(捐)助單位,核准日期,活動名稱,活動時間(起),活動時間(迄),活動地點,核准補助金額(千元),核准理由(預期效益),核准補助金額(元)
59,南投縣仁愛鄉,南投縣仁愛鄉松林社區發展協會,2017/1/1,南投縣仁愛鄉親愛村106年度村校聯合動大會,2017/1/1,2017/1/1,南投縣仁愛鄉親愛國小萬大分校,15,促進與地方和諧關係,15000
39,臺北市中正區,秘書處,2017/1/1,106/1/1~1/11認養羅斯福路、新生南路口人行地下道清潔維護費。,2017/1/1,2017/1/11,臺北市,4.865,敦親睦鄰提升企業形象,4865
77,臺北市中正區,秘書處,2017/1/1,106/1/1~1/11 認養羅斯福路、新生南路口人行地下道清潔高空作業_採光罩清洗費。,2017/1/1,2017/1/11,臺北市,4.277,敦親睦鄰提升企業形象,4277
230,高雄市,高雄市茄萣婦女工作協會,2017/1/3,協助高雄市茄萣婦女工作協會辦理106年兒童社區課後照顧計畫,2017/1/4,######,高雄市茄萣區,60,配合宣導電力發展營運，提升台電企業形象,60000
25,高雄市彌陀區,高雄市彌陀區農會,2017/1/3,辦理106年新春歲末聯歡聯誼活動,2017/1/17,2017/1/17,彌陀區漁港路上好現撈活海產店,30,敦親睦鄰提升企業形象,30000
52,高雄市彌陀區,高雄市彌陀區海之鄉關懷協會,2017/1/3,辦理參訪弱勢團體暨節約能源宣導活動,2017/1/7,2017/1/8,中部、南部,30,敦親睦鄰提升企業形象,30000
79,高雄市永安區,高雄市永安新港老人長壽協進會,2017/1/3,辦理106年度迎新敬慰老人活動,2017/1/20,2017/1/20,新港社區活動中心一樓,30,敦親睦鄰提升企業形象,30000
74,基隆市仁愛區,台灣電力公司基隆區營業處,2017/1/3,立法委員蔡適應建請基隆區處配電中心出入口設置反光鏡乙案,2017/1/18,2017/1/18,基隆區處配電中心大門口正對面道路側邊,20,促進與地方和諧關係,20000
225,苗栗縣,苗栗縣毅學書畫學會,2017/1/3,協助苗栗縣毅學書畫學會辦理106年春聯揮毫贈送活動,2017/1/8,2017/1/8,苗栗縣通霄鎮,30,配合宣導電力發展營運，提昇文教品質,30000
47,臺中市龍井區,王貝珊,2017/1/3,發放急難救助金,2017/1/3,2017/1/3,龍井區,10,加強地方關係、促進電源開發及節約用電,10000
80,桃園市新屋區,大潭發電廠,2017/1/3,贊助桃園市新屋區永興里辦公處辦理「智慧節電暨節能減碳宣導活動」,2017/1/10,2017/1/10,桃園市新屋區永安里中山西路三段960號,13,加強地方關係、促進電源開發及節約用電,13000
219,高雄市,高雄市岡山區農會,2017/1/4,協助高雄市岡山區農會辦理106年度岡山區各界慶祝農民節大會暨能源建設宣導活動計畫,2017/1/23,2017/1/23,高雄市岡山區,100,配合宣導電力發展營運，維護傳統習俗,100000
224,高雄市,高雄市沿海敬老協會,2017/1/4,協助高雄市沿海敬老協會辦理「參訪國家經濟建設暨宣導支持大林電廠更新改建計畫活動,2017/1/14,2017/1/15,大林發電廠,80,配合宣導電力發展營運，提升台電企業形象,80000
226,高雄市,南部發電廠,2017/1/4,協助南部發電廠辦理105年度歲末睦鄰暨電力宣導活動,2017/1/13,2017/1/13,高雄市前鎮區,80,配合宣導電力發展營運，提升台電企業形象,80000
135,高雄市茄萣區,正順廟,2017/1/4,辦理106年元宵節慶典活動暨節約能源宣導,2017/2/11,2017/2/11,正順廟,30,敦親睦鄰提升企業形象,30000
164,高雄市彌陀區,高雄市彌陀區漁會,2017/1/4,辦理漁民祈福法會活動,2017/1/13,2017/1/13,彌陀漁港北側,30,敦親睦鄰提升企業形象,30000
5,高雄市永安區,高雄市永安區新港社區發展協會,2017/1/4,辦理歲末年終業務檢討活動,2017/1/24,2017/1/24,社區活動中心,40,敦親睦鄰提升企業形象,40000
146,高雄市永安區,高雄市永安區烏林投社區發展協會,2017/1/4,辦理環保志工歲末迎新春聯誼暨節能環保宣導活動,2017/1/24,2017/1/24,烏林投活動中心,40,敦親睦鄰提升企業形象,40000
153,高雄市永安區,高雄市永安區鹽田社區發展協會,2017/1/4,辦理歲末敬老暨里民聯誼暨宣導節能活動,2017/1/23,2017/1/23,本里活動中心,40,敦親睦鄰提升企業形象,40000
228,基隆市,協和發電廠,2017/1/4,協助協和發電廠辦理農漁會幹部及地方仕紳睦鄰溝通聯誼暨電力宣導活動,2017/1/5,2017/1/26,基隆市中山區,80,配合宣導電力發展營運，提升台電企業形象,80000
49,基隆市中山區,基隆市中和社區發展協會,2017/1/4,辦理106年元宵節聯歡晚會活動,2017/2/4,2017/2/4,基隆市福安宮,20,提升公司熱心公益形象,20000
20,苗栗縣通霄鎮,通霄鎮公所,2017/1/4,106年度通霄鎮通西里33、34鄰65歲以上老人春節慰問金,2017/1/12,2017/1/31,通西里33、34鄰,16,促進與地方和諧關係,16000
159,臺中市龍井區,臺中市龍井區公所,2017/1/4,辦理臺中市民防總隊義勇警察大隊烏日中隊龍井分隊績優協勤人員表揚及新、卸任分隊長交接暨節約用電宣導活動,2017/1/6,2017/1/6,龍井區,15,加強地方關係、促進電源開發及節約用電,15000
171,臺中市龍井區,臺中市龍井區公所,2017/1/4,辦理臺中市義勇消防總隊第四大隊犁份分隊105年度年終績優人員表揚暨節約用電安全宣導及推廣乾淨能源政策活動,2017/1/12,2017/1/12,龍井區,15,加強地方關係、促進電源開發及節約用電,15000
19,臺中市沙鹿區,臺中市忘憂草女性成長協會,2017/1/4,辦理多元關懷幸福團圓暨促進電源開發宣導活動,2017/1/8,2017/1/8,沙鹿區,20,加強地方關係、促進電源開發及節約用電,20000
81,桃園市新屋區,桃園市新屋區永興里里民葉斯法,2017/1/4,桃園市新屋區永興里里民葉斯法低收入戶慰問,######,######,桃園市新屋區永興里3鄰永慶一路310號,15,提升公司熱心公益形象,15000
82,桃園市新屋區,桃園市新屋區永興里里民錢進榮,2017/1/4,桃園市新屋區永興里里民錢進榮急難救助慰問,######,######,桃園市新屋區永興里7鄰大牛欄70號,15,提升公司熱心公益形象,15000
218,高雄市,高雄市大林蒲沿海環境維護協會,2017/1/5,協助高雄市大林蒲沿海環境維護協會辦理大林蒲環境維護盃壘球邀請賽暨電力宣導活動,2017/1/21,2017/1/21,高雄市小港區,60,配合宣導電力發展營運，提升台電企業形象,60000
221,高雄市,高雄市政府,2017/1/5,協助高雄市政府辦理高雄市試辦「提昇國中小學生英語學習成效」實驗計畫成果發表會,2017/1/7,2017/1/7,高雄市鳳山區,300,配合宣導電力發展營運，提昇文教品質,300000
53,高雄市小港區,高雄市海汕長春協會,2017/1/5,與高雄產經新聞記者聯誼會聯合舉辦「節能減碳研討會暨宣導支持大林電廠更新改建計畫活動」,2017/1/24,2017/1/24,高雄市,35,提升公司熱心公益形象,35000
141,高雄市永安區,高雄市永安石斑魚養殖漁業海峽兩岸交流協會,2017/1/5,辦理106年迎新聯誼暨節能減碳宣導活動,2017/1/23,2017/1/23,高雄市永安石斑魚養殖漁業海峽兩岸交流協會,30,敦親睦鄰提升企業形象,30000
21,基隆市中山區,基隆市文化社區發展協會,2017/1/5,辦理106年電力設施參訪觀摩暨社區會員電力宣導研討會,2017/1/15,2017/1/15,通宵電廠,50,敦親睦鄰提升企業形象,50000
22,屏東縣恆春鎮,屏東縣恆春鎮公所,2017/1/5,南灣里郭千琪急難救助,2017/1/6,2017/2/28,恆春鎮南灣里,10,敦親睦鄰提升企業形象,10000
50,屏東縣恆春鎮,屏東縣恆春鎮公所,2017/1/5,四溝里陳寅敏急難救助,2017/1/5,2017/2/28,恆春鎮四溝里,10,敦親睦鄰提升企業形象,10000
101,臺中市龍井區,陳又綸,2017/1/5,發放急難救助金,2017/1/5,2017/1/5,龍井區,5,加強地方關係、促進電源開發及節約用電,5000
138,臺中市清水區,台中縣社區福利共創協會,2017/1/5,「迎冬向陽，敦親睦鄰」暨節約用電宣導活動,2017/1/19,2017/1/19,沙鹿區,10,加強地方關係、促進電源開發及節約用電,10000
144,臺中市清水區,臺中市全人幸福促進協會,2017/1/5,食安環保暨節約用電宣導活動,2017/1/10,2017/1/10,清水區,5,藉由活動宣導開發電源節約用電正確觀念,5000
72,桃園市桃園區,桃園市企業創新協會,2017/1/5,105年度創新愛心 寒冬送暖活動,2017/1/14,2017/1/14,桃園市政府府前廣場,50,提升公司熱心公益形象,50000
42,新北市貢寮區,龍門施工處,2017/1/5,106年度貢寮區安義塔春節祭祀活動,2017/1/12,2017/1/12,福隆隆安義塔,12,促進與地方和諧關係,12000
215,高雄市,高雄市大林蒲民俗文化協會,2017/1/6,協助高雄市大林蒲民俗文化協會辦理參訪國家經濟建設暨宣導支持大林電廠更新改建計畫活動,2017/1/30,2017/2/1,大林發電廠,60,配合宣導電力發展營運，提升台電企業形象,60000
6,高雄市小港區,高雄市沿海敬老協會,2017/1/6,本會會員林OO女士家境艱難長期為退化性關節炎所苦致無法工作生活陷入困境,2017/1/16,2017/1/27,高雄市,18,提升公司熱心公益形象,18000
26,高雄市小港區,里民許OO,2017/1/6,本里先生家境清寒無固定收入近日因腦疾所苦醫療費用龐大,2017/1/16,2017/1/27,高雄市,10,提升公司熱心公益形象,10000
165,高雄市小港區,武鳳宮,2017/1/6,舉辦恭祝關聖帝君聖誕慶典暨宣導節約用電活動,2017/2/9,2017/2/9,高雄市,15,提升公司熱心公益形象,15000
130,高雄市永安區,高雄市永安區永華社區發展協會,2017/1/6,辦理歲末會務檢討聯誼餐會暨節能減碳宣導活動,2017/1/19,2017/1/19,明新外燴館,40,敦親睦鄰提升企業形象,40000
48,苗栗縣苑裡鎮,苗栗縣文硯書畫學會,2017/1/6,106年文硯傳真情.揮毫迎新春,2017/1/8,2017/1/8,苑裡慈和宮,20,加強地方關係、促進電源開發及節約用電,20000
4,屏東縣恆春鎮,屏東縣恆春鎮公所,2017/1/6,大光里董嘉慶急難救助,2017/1/6,2017/2/28,恆春鎮大光里,10,敦親睦鄰提升企業形象,10000
163,屏東縣恆春鎮,屏東縣恆春鎮公所,2017/1/6,水泉里江國華急難救助,2017/1/6,2017/2/28,恆春鎮水泉里,4,敦親睦鄰提升企業形象,4000
220,臺中市,臺中市龍井區農會,2017/1/6,協助臺中市龍井區農會辦理106年度龍井區各界慶祝農民節表彰大會,2017/1/7,2017/1/7,臺中市龍井區,100,促進電力發展營運，增進產業發展,100000
151,臺中市大肚區,臺中市大肚區婦女會,2017/1/6,辦理破除性別偏見座談會、會員大會暨節能減碳宣導活動,2017/1/15,2017/1/15,大肚區,10,加強地方關係、促進電源開發及節約用電,10000
214,新北市,新北市三芝區農會,2017/1/6,協助新北市三芝區農會辦理106年度新北市三芝區農民節活動暨優秀農民表揚大會活動,2017/2/1,2017/3/31,新北市三芝區,90,配合宣導電力發展營運，維護傳統習俗,90000
16,新北市貢寮區,龍門施工處,2017/1/6,106年度春節地方廟宇參拜活動,2017/1/28,2017/1/28,貢寮區,17,提升公司熱心公益形象,17000
40,雲林縣四湖鄉,雲林縣四湖鄉子寮城鄉發展協會,2017/1/6,106年「寒冬送暖~慶賀佳節」關愛e起來活動,2017/1/25,2017/1/25,雲林縣四湖鄉子寮普天宮廣場前,5,敦親睦鄰提升企業形象,5000
213,高雄市,高雄市國際新住民協會,2017/1/9,協助高雄市國際新住民協會辦理志工頒獎晚會暨節能減碳宣導活動,2017/1/21,2017/1/21,高雄市岡山區,50,配合宣導電力發展營運，提升台電企業形象,50000
212,基隆市,協和發電廠,2017/1/9,協助協和發電廠辦理歲末新春睦鄰溝通聯誼暨電力宣導活動,2017/1/16,2017/2/20,基隆市中山區,100,配合宣導電力發展營運，提升台電企業形象,100000
3,基隆市中山區,基隆市健民社區發展協會,2017/1/9,106年元宵節聯歡活動,2017/2/10,2017/2/10,里民活動中心,30,提升公司熱心公益形象,30000
29,南投縣仁愛鄉,萬大發電廠,2017/1/9,辦理南投縣仁愛鄉各機關學校等參訪電力設施及綠能宣導活動,2017/1/16,2017/1/16,萬大發電廠,20,加強地方關係、促進電源開發及節約用電,20000
211,桃園市,桃園市新屋區農會,2017/1/9,協助桃園市新屋區農會辦理106年度新屋區各界慶祝農民節大會活動,2017/1/15,2017/3/31,桃園市新屋區,150,配合宣導電力發展營運，維護傳統習俗,150000
217,新北市,新北市石門區農會,2017/1/9,協助新北市石門區農會辦理106年度農民節慶祝大會暨農特產品促銷推廣活動,2017/1/15,2017/4/30,新北市石門區,100,配合宣導電力發展營運，維護傳統習俗,100000
204,高雄市,高雄市立湖內國民中學,2017/1/10,協助高雄市立湖內國民中學辦理106年度發展「學校舉重特色」課程計畫,2017/2/1,######,高雄市湖內區,300,配合宣導電力發展營運，提昇文教品質,300000
154,高雄市鼓山區,高雄市打鼓書法學會,2017/1/10,春聯揮毫贈送鄉親暨宣導支持大林電廠更新改建計畫,2017/1/23,2017/1/23,高雄市,30,提升公司熱心公益形象,30000
142,高雄市小港區,高雄市小港區環境維護關懷協會,2017/1/10,舉辦歲末年終社區大掃除暨宣導支持大林發電廠更新改建計畫,2017/1/22,2017/1/22,高雄市,20,提升公司熱心公益形象,20000
147,高雄市小港區,高雄市大林蒲將軍宗教協會,2017/1/10,舉辦歲末年終會員會務研討會議暨宣導支持大林電廠更新改建計畫,2017/1/15,2017/1/15,高雄市,25,提升公司熱心公益形象,25000
206,苗栗縣,苗栗縣苑裡鎮公所,2017/1/10,協助苗栗縣苑裡鎮公所辦理106年度【寒冬送暖‧歲末關懷】活動,2017/1/17,2017/1/17,苗栗縣苑裡鎮,80,關懷弱勢，提升台電企業形象,80000
58,南投縣水里鄉,南投縣水里鄉城中社區發展協會,2017/1/10,歲末聯誼春聯揮毫暨環保衛生用電安全宣導活動,2017/1/14,2017/1/14,水里鄉城中社區集會所,8,藉由活動宣導開發電源節約用電正確觀念,8000
76,臺東縣台東市,財團法人一粒麥子社會福利慈善事業基金會,2017/1/10,2017年火金姑兒童閱讀計畫,2017/1/1,######,花東地區教會,3500,提升公司熱心公益形象,3500000
118,臺中市大肚區,臺中縣國學會,2017/1/10,辦理丁酉迎新春揮毫贈春聯暨節約能源宣導活動,2017/1/13,2017/1/13,大肚區,5,加強地方關係、促進電源開發及節約用電,5000
96,臺中市龍井區,林舜智,2017/1/10,發放急難救助金,2017/1/10,2017/1/10,龍井區,5,加強地方關係、促進電源開發及節約用電,5000
122,臺中市龍井區,臺中縣龍井鄉祥安促進協會,2017/1/10,辦理106年志工服務教育觀摩暨支持電源開發及節能減碳宣導活動,2017/1/17,2017/1/18,北部地區,20,加強地方關係、促進電源開發及節約用電,20000
127,臺中市龍井區,臺中市民安促進會,2017/1/10,辦理106金雞來報到、關懷弱勢過好年暨支持電源開發及推展乾淨能源宣導活動,2017/1/21,2017/1/21,龍井區,20,加強地方關係、促進電源開發及節約用電,20000
133,臺中市龍井區,臺中市龍井區公所,2017/1/10,辦理臺中市義勇消防總隊第四大隊龍井分隊「年終績優人員表揚及用電宣導暨推廣乾淨ˋ能源政策宣導活動」,2017/1/17,2017/1/17,龍井區,15,加強地方關係、促進電源開發及節約用電,15000
46,桃園市新屋區,桃園市新屋區全民運動發展協會,2017/1/10,106年度關懷弱勢、老人福利暨節約用電宣導活動,2017/1/22,2017/1/22,新生社區活動中心,10,敦親睦鄰提升企業形象,10000
62,雲林縣褒忠鄉,雲林縣馬鳴山五年千歲文化發展協會,2017/1/10,106年馬鳴山鎮安宮五年千歲遶境吃飯擔文化節,2017/2/11,2017/2/11,褒忠鄉新湖村參天府,50,配合宣導節約用電提升企業形象,50000
124,高雄市茄萣區,高雄市茄萣區崎漏社區發展協會,2017/1/11,辦理106年度迎新聯誼餐會暨電力宣導活動,2017/2/4,2017/2/4,崎漏社區活動中心,40,敦親睦鄰提升企業形象,40000
92,高雄市永安區,忠義堂大將公,2017/1/11,辦理大將公聖誕千乎暨民俗文化活動,2017/1/19,2017/1/19,維新里忠義堂大將公前廣場,35,敦親睦鄰提升企業形象,35000
152,基隆市仁愛區,基隆市體育會,2017/1/11,辦理106年基隆市體育會基層桌球訓練營暨電力宣導活動,2017/2/6,2017/2/6,基隆市銘傳國中禮堂,30,提升公司熱心公益形象,30000
86,基隆市中正區,基隆市正砂社區發展協會,2017/1/11,辦理106年港都元宵暝、牙古仔燈思想起活動,2017/2/11,2017/2/11,基隆市安瀾橋福興宮,20,提升公司熱心公益形象,20000
210,苗栗縣,苗栗縣通霄全民健康推廣協會,2017/1/11,協助苗栗縣通霄全民健康推廣協會辦理106年度「全民動起來，健康跟著來」宇宙健康操成果發表暨傳統米食推廣親子研習活動,2017/1/15,2017/1/15,苗栗縣通霄鎮,20,配合宣導電力發展營運，提昇文教品質,20000
17,臺南市新營區,台南市新營區台電嘉南供電區營運處,2017/1/11,嘉義縣民雄鄉打貓果菜生產合作社周年慶,2017/1/18,2017/1/18,嘉義縣民雄鄉三興村1之4號(打貓果菜生產合作社),3,加強地方關係、促進電源開發及節約用電,3000
208,臺中市,臺中市龍井區體育會,2017/1/11,協助臺中市龍井區體育會辦理2017第二屆龍井單車逍遙遊暨節能減碳與推廣乾淨能源政策宣導活動,2017/1/14,2017/1/14,臺中市龍井區,90,配合宣導電力發展營運，提昇文教品質,90000
28,臺中市和平區,大甲溪發電廠,2017/1/11,本廠周邊地區各機關辦理歲末聚餐及春酒活動，致贈活動禮品,2017/1/11,2017/2/28,大甲溪發電廠周邊機關,24,加強地方關係、促進電源開發及節約用電,24000
57,臺中市和平區,大甲溪發電廠,2017/1/11,致贈本廠所在區有關機關年終年終禮品,2017/1/11,2017/2/28,大甲溪發電廠周邊機關,32,加強地方關係、促進電源開發及節約用電,32000
202,新北市,新北市林口區農會,2017/1/11,協助新北市林口區農會辦理106年度林口區各界慶祝農民節大會及節約電源宣導活動,2017/1/1,2017/3/31,新北市林口區,80,配合宣導電力發展營運，維護傳統習俗,80000
209,新北市,新北市瑞芳區深澳社區發展協會,2017/1/11,協助新北市瑞芳區深澳社區發展協會辦理深澳社區「迎新春送愛心活動」,2017/1/14,2017/1/14,新北市瑞芳區,100,配合宣導電力發展營運，提升台電企業形象,100000
157,新北市貢寮區,賴育民,2017/1/11,因父親跌倒昏迷不醒需照顧無法工作影響且家境清寒,2017/1/19,2017/1/19,貢寮區,10,敦親睦鄰提升企業形象,10000
65,新北市土城區,新北市福利社區推廣協會,2017/1/11,文化傳承幸福饗宴,2017/1/15,2017/1/15,土城運動公園(假日廣場),250,藉由活動宣導開發電源節約用電正確觀念,250000
207,彰化縣,彰化縣和美鎮公所,2017/1/11,協助彰化縣和美鎮公所辦理2017花漾和美-親子賞花趣,2017/1/15,2017/1/15,彰化縣和美鎮,100,配合宣導電力發展營運，提升台電企業形象,100000
189,高雄市,高雄市彌陀老人福利協進會,2017/1/12,協助高雄市彌陀老人福利協進會辦理106年度地方產業文化觀摩聯誼活動,2017/2/15,2017/2/18,第二核能發電廠,40,配合宣導電力發展營運，提升台電企業形象,40000
197,高雄市,高雄市湖內區三侯國民小學,2017/1/12,協助高雄市湖內區三侯國民小學辦理106年度發展「生活與閱讀」特色課程活動計畫,######,######,高雄市湖內區,100,配合宣導電力發展營運，提昇文教品質,100000
131,高雄市小港區,高雄市沿海環境綠色保護協會,2017/1/12,舉辦歲末關懷社區老人生活暨宣導支持大林發電廠更新改建計畫,2017/1/21,2017/1/21,高雄市,20,提升公司熱心公益形象,20000
136,高雄市小港區,高雄市三媽民俗交流協會,2017/1/12,舉辦幹部、志工工作研習暨宣導支持大林電廠更新改建計畫活動,2017/1/21,2017/1/21,高雄市,15,提升公司熱心公益形象,15000
162,基隆市中正區,基隆市砂灣社區發展協會,2017/1/12,106年度慶祝元宵節活,2017/2/10,2017/2/10,砂灣里活動中心,10,提升公司熱心公益形象,10000
203,南投縣,南投縣魚池鄉農會,2017/1/12,協助南投縣魚池鄉農會辦理106年度魚池鄉各界慶祝農民節表彰大會計畫,2017/1/18,2017/1/18,南投縣魚池鄉,70,配合宣導電力發展營運，維護傳統習俗,70000
18,桃園市新屋區,桃園市新屋區後湖社區發展協會,2017/1/12,106年度慶祝元宵節暨支持電源開發、社會福利宣導活動,2017/2/11,2017/2/11,後湖社區活動中心,20,加強地方關係、促進電源開發及節約用電,20000
51,新北市石門區,新北市石門區老梅社區發展協會,2017/1/12,辦理社區媽媽教室插花研習暨核能安全宣導,2017/1/24,2017/1/24,石門區老人休閒活動中心,50,敦親睦鄰提升企業形象,50000
31,彰化縣芬園鄉,彰化縣原新福德藝術文化協會,2017/1/12,金雞報喜慶元宵活動,2017/2/10,2017/2/10,彰化縣芬園鄉原新廣場,15,敦親睦鄰提升企業形象,15000
64,彰化縣芬園鄉,彰化縣芬園鄉嘉興社區發展協會,2017/1/12,106年迎春納福慶元宵暨節能減碳宣導活動,2017/2/11,2017/2/11,永清宮大廟埕,15,藉由活動宣導開發電源節約用電正確觀念,15000
87,高雄市茄萣區,高雄市茄萣區嘉賜社區發展協會,2017/1/13,辦理106年度社區環保再造與節能減碳宣導活動,2017/3/19,2017/3/21,宜蘭、新竹,30,敦親睦鄰提升企業形象,30000
114,高雄市茄萣區,邱曹碧蓮,2017/1/13,付辦理茄萣區崎漏里民邱曹碧蓮急難救助,2017/1/13,2017/2/28,茄萣區崎漏里,20.08,敦親睦鄰提升企業形象,20080
45,高雄市彌陀區,高雄市彌陀區彌壽社區發展協會,2017/1/13,辦理106年度地方產業文化觀摩活動,2017/3/3,2017/3/4,白河、奮起湖,20,敦親睦鄰提升企業形象,20000
54,高雄市前鎮區,高雄市前鎮區亞洲新灣獅甲社區發展協會,2017/1/13,辦理106年春季旅遊活動,2017/2/12,2017/2/13,雪霸休閒農場,20,藉由活動宣導開發電源節約用電正確觀念,20000
12,高雄市永安區,高雄市永安區烏林投老人長壽協進會,2017/1/13,辦理除舊迎新春暨節能減碳宣導活動,2017/2/15,2017/2/15,烏林投活動中心,40,敦親睦鄰提升企業形象,40000
83,高雄市永安區,文興宮,2017/1/13,辦理慶祝地方民俗文化慶典活動,2017/2/1,2017/2/3,安安區文興宮前、後廣場,30,敦親睦鄰提升企業形象,30000
98,高雄市永安區,蔡陳英,2017/1/13,付辦理永安區新港里民蔡陳英急難救助,2017/1/13,2017/2/28,永安區新港里,15.06,敦親睦鄰提升企業形象,15060
109,高雄市永安區,邱蘇私,2017/1/13,付辦理永安區新港里民邱蘇私低收入戶生活扶助,2017/1/13,2017/2/28,永安區新港里,10.04,敦親睦鄰提升企業形象,10040
43,花蓮縣秀林鄉,花蓮縣秀林鄉陶樸閣美學才藝發展協會,2017/1/13,106.1.3花蓮縣秀林鄉陶樸閣美學才藝發展協會，訂於106年1月31日舉辦「2017秀林鄉傳統歌謠競賽」,2017/1/31,2017/1/31,花蓮縣秀林鄉水源村多功能集會草地廣場,13.1,敦親睦鄰提升企業形象,13100
97,基隆市中山區,基隆市中興社區發展協會,2017/1/13,辦理節約用電宣導暨元宵節節活動,2017/2/9,2017/2/9,中興里活動中心,30,提升公司熱心公益形象,30000
55,桃園市大園區,桃園市武駕民俗文化促進會,2017/1/13,辦理106年度元宵節慶典暨關懷青少年預防中輟生宣導活動,2017/2/11,2017/2/11,大園區竹圍里福海宮廟前廣場,20,促進與地方和諧關係,20000
196,新北市,新北市金山地區農會,2017/1/13,協助新北市金山地區農會辦理金山、萬里各界106年度慶祝農民節大會,2017/1/23,2017/1/23,新北市金山區,150,配合宣導電力發展營運，維護傳統習俗,150000
188,高雄市,高雄市永安區公所,2017/1/16,協助高雄市永安區公所辦理2017天文文化節暨節能減碳宣導活動計畫,2017/2/12,2017/2/12,高雄市永安區,250,配合宣導電力發展營運，維護傳統習俗,250000
190,高雄市,高雄市茄萣鄭姓宗親會,2017/1/16,協助高雄市茄萣鄭姓宗親會辦理第九屆第二次會員大會暨宗親祭祖及節能減碳宣導活動,2017/1/30,2017/1/30,高雄市茄萣區,50,配合宣導電力發展營運，提升台電企業形象,50000
150,高雄市茄萣區,高雄市茄萣區二仁溪流域保護協會,2017/1/16,辦理106年生態、文創暨節能宣導活動,2017/2/19,2017/2/20,東埔,30,敦親睦鄰提升企業形象,30000
103,高雄市永安區,林進雄,2017/1/16,付辦理永安區永安里民林進雄急難救助,2017/1/16,2017/2/28,永安區永安里,15.06,敦親睦鄰提升企業形象,15060
90,臺中市龍井區,黃進坤,2017/1/16,發放急難救助金,2017/1/16,2017/1/16,龍井區,10,加強地方關係、促進電源開發及節約用電,10000
185,新北市,新北市瑞芳區瑞濱社區發展協會,2017/1/16,協助新北市瑞芳區瑞濱社區發展協會辦理106年度歲末聯歡晚會,2017/1/20,2017/1/20,新北市瑞芳區,180,配合宣導電力發展營運，提升台電企業形象,180000
186,新北市,新北市瑞芳區海濱社區發展協會,2017/1/16,協助新北市瑞芳區海濱社區發展協會辦理106年度新春送暖迎新年活動,2017/1/21,2017/1/21,新北市瑞芳區,180,配合宣導電力發展營運，提升台電企業形象,180000
8,彰化縣芬園鄉,彰化縣農業觀光產業文化協會,2017/1/16,大雞大利慶元宵,2017/2/10,2017/2/10,彰化縣芬園鄉嘉北廣場,15,敦親睦鄰提升企業形象,15000
187,苗栗縣,苗栗縣通霄鎮公所,2017/1/17,協助苗栗縣通霄鎮公所辦理通霄鎮106年度春節敦親睦鄰暨節約能源宣導,2017/1/26,2017/1/26,苗栗縣通霄鎮,150,配合宣導電力發展營運，維護傳統習俗,150000
201,苗栗縣,苗栗縣通霄鎮農會,2017/1/17,協助苗栗縣通霄鎮農會辦理106年度農民節表彰大會補助計畫,2017/1/24,2017/1/24,苗栗縣通霄鎮,100,配合宣導電力發展營運，維護傳統習俗,100000
2,苗栗縣通霄鎮,苗栗縣通霄鎮楓樹社區發展協會,2017/1/17,社區集愛、寒冬送暖、贈春聯活動,2017/1/21,2017/1/21,通霄鎮老人文康中心,20,提升公司熱心公益形象,20000
195,屏東縣,屏東縣牡丹鄉公所,2017/1/17,協助屏東縣牡丹鄉公所辦理2016年高士村迎春運動會計畫,2017/1/27,2017/1/28,屏東縣牡丹鄉,30,配合宣導電力發展營運，維護傳統習俗,30000
198,屏東縣,屏東縣車城鄉公所,2017/1/17,協助屏東縣車城鄉公所辦理屏東縣車城鄉106年國家清潔週屏東縣誓師暨掃街活動計畫,2017/1/1,2017/1/31,屏東縣車城鄉,90,配合宣導電力發展營運，增進環保意識並提升台電企業形象,90000
199,屏東縣,屏東縣滿州鄉公所,2017/1/17,協助屏東縣滿州鄉公所辦理2017滿州讚新春開運路跑活動計畫,2017/1/28,2017/1/28,屏東縣滿州鄉,100,配合宣導電力發展營運，維護傳統習俗,100000
200,屏東縣,屏東縣恆春鎮公所,2017/1/17,協助屏東縣恆春鎮公所辦理106年度恆春鎮長盃籃球錦標賽,2017/1/21,2017/1/23,屏東縣恆春鎮,100,配合宣導電力發展營運，提昇文教品質,100000
66,屏東縣東港鎮,社團法人屏東縣關心身心障礙者服務協會,2017/1/17,關心身心障礙者協會元宵節暨節能減碳宣導活動,2017/2/18,2017/2/18,東港鎮,15,提升公司熱心公益形象,15000
44,臺南市新營區,台南市新營區台電嘉南供電區營運處,2017/1/17,台南市新營區民榮社區發展協會配合國家清潔週本處周邊及社區環境清潔活動,2017/1/21,2017/1/21,台南市新營區民榮社區,3.9,敦親睦鄰提升企業形象,3900
1,臺中市龍井區,臺中市沙鹿婦女才藝推廣協會,2017/1/17,辦理民俗風情慶元宵暨節約能源宣導活動,2017/2/5,2017/2/5,沙鹿區,10,加強地方關係、促進電源開發及節約用電,10000
34,臺中市龍井區,臺中市龍井區公所,2017/1/17,辦理臺中市龍井區新庄里環保志工第八小隊106年度環保志工新春聯誼暨宣導低碳生活推廣乾淨能源政策宣導活動,2017/2/5,2017/2/5,龍井區,15,加強地方關係、促進電源開發及節約用電,15000
