項次,補助縣市,申請補(捐)助單位,核准日期,活動名稱,活動時間(起),活動時間(迄),活動地點,核准補助金額(千元),核准理由(預期效益),核准補助金額(元)
6587,臺中市龍井區,中華民國春林尊親會,#####,辦理106年度會員尊老敬賢公益健康講座暨節能減碳及推廣潔淨能源政策宣導活動,#####,#####,龍井區,10,加強地方關係、促進電源開發及節約用電,10000
6594,臺中市龍井區,台中縣龍井鄉祥安促進協會,#####,辦理106年度運動愛台灣健行暨支持電源開發推廣乾淨能源宣導活動,#####,#####,龍井區,20,加強地方關係、促進電源開發及節約用電,20000
6601,臺中市龍井區,財團法人台中市私立銀同碧湖陳氏社會福利基金會,#####,辦理106年度敬老、獎學金、成年禮、績優義工表揚暨支持能源開發宣導活動,#####,#####,龍井區,20,加強地方關係、促進電源開發及節約用電,20000
6609,臺中市龍井區,臺中市龍井區龍東社區發展協會,#####,辦理關懷老人戶外交流暨推廣乾淨能源政策宣導活動,#####,#####,南部地區,20,加強地方關係、促進電源開發及節約用電,20000
6641,臺中市龍井區,臺中市龍井區山腳社區發展協會,#####,辦理志工與長青境外績優關懷據點參訪與實務交流暨節能減碳及推廣潔淨能源政策宣導活動,#####,#####,南部地區,20,加強地方關係、促進電源開發及節約用電,20000
6650,臺中市龍井區,臺中市龍井區福田腳社區發展協會,#####,辦理敬老文化觀摩及關懷老人健康養生暨節能減碳及推廣乾淨能源政策宣導活動,#####,#####,南部地區,20,加強地方關係、促進電源開發及節約用電,20000
6658,臺中市龍井區,臺中市龍井區公所,#####,辦理烏日警察志工中隊龍井分隊「106年度志工業務觀摩暨節能減碳及推廣乾淨能源政策宣導活動」,#####,#####,北部地區,20,加強地方關係、促進電源開發及節約用電,20000
6668,臺中市龍井區,臺中市龍井區公所,#####,辦理龍津里環保志工第三小隊「106年社區文化觀摩暨節能減碳宣導活動」,#####,#####,南部地區,15,加強地方關係、促進電源開發及節約用電,15000
6680,臺中市龍井區,臺中市龍井區竹坑社區發展協會,#####,辦理106年文化觀摩暨節能減碳及推廣乾淨能源宣導活動,#####,#####,北部地區,20,加強地方關係、促進電源開發及節約用電,20000
6764,臺中市龍井區,臺中市龍井區公所,#####,辦理臺中市民防總隊義勇警察大隊烏日中隊龍東隊「績優人員表揚暨節能減碳及推廣乾淨能源政策宣導活動」,#####,#####,龍井區,15,加強地方關係、促進電源開發及節約用電,15000
