民意代表姓名	民意代表親屬姓名	B欄為A欄之親屬關係			資料來源
蘇巧慧	詹秀齡	母親			
羅明才	羅明旭	哥哥			
盧秀燕	盧秀玲	妹妹			
盧秀燕	廖瑞芳	大姑			
鄭運鵬	鄭運鴻	哥哥			
蔡其昌	詹益川	外祖父			
顏寬恒	黃美貴	母親			
顏寬恒	顏仁賢	弟弟			
顏寬恒	顏宏全	弟弟			
顏寬恒	顏嘉儀	弟弟			
顏寬恒	顏鈺蓁	女兒			
顏寬恒	顏伃婕	女兒			
顏寬恒	顏邵朋	兒子			
顏寬恒	葉信志	女婿			
洪慈庸	胡世和	舅舅			
洪慈庸	洪吉端	父親			
洪慈庸	胡素真	母親			
洪慈庸	洪仲丘	弟弟			
洪慈庸	卓建國	岳父			
洪慈庸	蘇麗雪	岳母			
盧秀燕	盧秀芳	妹妹			
盧秀燕	徐志奕	妹婿			
江啟臣	江漢津	堂伯公			
葉宜津	葉光章	弟弟			
葉宜津	施宣榕	弟媳			
葉宜津	葉光洲	哥哥			
黃偉哲	黃智賢	妹妹			
黃偉哲	蘇紫雲	弟弟			
黃偉哲	黃重諺	堂弟			
陳亭妃	陳黃秀	母親			
邱議瑩	邱凱偉	堂弟			
李昆澤	廖光舜	岳父			
呂孫綾	呂孫福	弟弟			
呂孫綾	呂孫吉	弟弟			
